Тема,Вопрос,Ответ
Обучение,"Онлайн — это живой урок, а не трансляция","Некоторые грузинские автошколы называют «обучением онлайн» подключение к трансляции. Здесь — полноценный видеоурок в Zoom или Google Meet: преподаватель включает демонстрацию экрана, показывает фото и видео, разбирает задачи, отвечает на вопросы. Школа считает, что трансляции без взаимодействия с преподавателем результата не дают."
Обучение,Практика,"Площадка у метро «Церетели», затем вождение по реальным маршрутам Тбилиси. Только очно."
Обучение,Я никогда не сидел(а) за рулём. Возьмёте?,Конечно. Большинство учеников начинают с нуля — программа построена от первого занятия на площадке до уверенной езды по городу.
Обучение,Я давно за рулём и ПДД знаю. Зачем мне теория?,"Правила только выглядят международными. Проезд круговых, езда с габаритными огнями и десятки других мелочей в Грузии отличаются от того, к чему человек привык — и опытного водителя это подводит чаще, чем новичка. Плюс дорожные знаки здесь с грузинскими надписями.

Отдельная сложность — билеты: официальная база переведена на русский машинным переводом много лет назад, и примерно в 15–20 % вопросов смысл искажён. На занятиях преподаватель разбирает, что именно имелось в виду в таких билетах и как на них отвечать.

Похожие формулировки: «я 20 лет за рулём», «можно только вождение без теории»."
Обучение,Можно ли заниматься онлайн?,"Теорию — да. Это полноценный урок с преподавателем в Zoom или Google Meet: демонстрация экрана, разборы, ответы на вопросы. Это не запись. Практика вождения только очно в Тбилиси."
Обучение,Что нужно для онлайн-занятий?,"Компьютер, ноутбук или планшет — с телефона неудобно из-за маленького экрана (в исключительных случаях так занимались, но некомфортно). Сервис (Zoom, Google Meet или другой) согласуется с преподавателем. Записи уроков, как правило, не ведутся — в исключительных случаях вопрос решается с преподавателем."
Обучение,Когда стартует ближайшая группа?,"Группы набираются один-два раза в месяц. Точную дату ближайшего старта нужно уточнять по телефону или в WhatsApp — бот дату не называет. Занятия идут будни в 19:00, полный курс — две недели, 9 занятий по 90 минут, группы до 12 человек."
Обучение,Сколько занятий нужно на площадке?,"С нуля обычно 5–10 занятий; 10 — практически всегда достаточно, случаи, когда не хватает, крайне редки. Отрабатывают шесть-семь элементов: змейка, параллельная парковка, въезд в гараж, эстакада и другие. Если опыт вождения уже есть, хватает одного-двух занятий, чтобы понять готовность к экзамену."
Обучение,Сколько времени занимает всё обучение?,"Честный ответ — от недели до нескольких месяцев. Технически при максимальном ускорении все три экзамена можно сдать за 5–7 дней. На практике срок зависит от подготовки, свободного времени и того, как быстро идёт вождение: кто-то укладывается в месяц, кто-то занимается три."
Обучение,Какие категории вы преподаёте?,"По умолчанию — B и B1 (легковые). Теорию могут провести по категориям A (мотоциклы) и C (грузовые) в индивидуальном формате. Вождение по категории A — на площадке партнёров; по категории C вождения нет, только теория."
Обучение,Сколько билетов в базе?,"Официальный банк вопросов Сервисного агентства МВД для категорий B/B1 — 898 вопросов. На публичном сайте teoria.on.ge их 921: там остались 23 билета, изъятых министерством. В тренажёре школы — 844 действующих русских билета (изъятые убраны, ещё 51 билет темы «эко-вождение» существует только на грузинском).

В разговоре с клиентом достаточно формулировки «примерно 900 билетов» — так же, как на сайте. Точные числа называть не нужно.

Тренажёр школы: https://avtoshkola.ge/bilety/"
Обучение,Бесплатное тестирование,"Занимает 10–20 минут. Показывает, сколько уроков реально нужно человеку с опытом — это может быть 3, 5, 7 или 8 занятий вместо полного курса. Заодно знакомство с преподавателем: станет понятно, подходит ли формат."
Цены и оплата,Цены школы,"Теория:
- Группа в аудитории — Что входит: 9 занятий по 90 минут, две недели, будни в 19:00, группы до 12 человек; Цена: 150 ₾ за курс
- Индивидуально онлайн — Что входит: 10 занятий по 90 минут, график под ученика; Цена: 280 ₾ за курс
- Одно занятие онлайн — Что входит: если полный курс не нужен — после бесплатного тестирования; Цена: 28 ₾ за занятие
- Онлайн своей компанией — Что входит: вдвоём / втроём / вчетвером, цена за курс с каждого. Группу собирают сами ученики; Цена: 210 / 180 / 150 ₾ с человека
- Индивидуально с преподавателем Ниной — онлайн вечером или на дому — Что входит: 10 уроков, строго в одно и то же время; Цена: 350 ₾ за курс
- Индивидуально в аудитории — Что входит: формально доступен, но аудитории почти всегда заняты — школа не рекомендует; Цена: 350 ₾ за курс

Цена 280 ₾ — это курс с Людмилой (онлайн, дневное время, гибкий график). Цена 350 ₾ — с Ниной (вечернее время или занятия на дому), у неё тариф фиксированный.

Вождение:
- Площадка (автодром) — Что входит: занятие 45 минут, у метро «Церетели». Механика или автомат — цена одна; Цена: 40 ₾ за занятие
- Город — Что входит: реальные маршруты Тбилиси с инструктором; Цена: 50 ₾ за занятие

Дополнительно:
- Тестирование (10–15 минут, показывает, сколько занятий нужно) — Цена: бесплатно
- Консультация по телефону (этапы, документы, пошлины, сроки) — Цена: бесплатно
- Медицинская справка формы 100 — Цена: 45 ₾
- Справка об обучении (нужна тем, кто выходит на экзамен в 17 лет) — Цена: 50 ₾"
Цены и оплата,Государственные пошлины,"Платятся государству при записи на экзамен, не автошколе. Только грузинской картой.

- Экзамен по теории, первая попытка (включает изготовление удостоверения) — Цена: 55 ₾
- Каждая пересдача теории — Цена: 40 ₾
- Экзамен по вождению в городе — Цена: 90 ₾
- Пересдача площадки, начиная со второй попытки — Цена: 40 ₾
- Ускоренная запись (ближайшая дата вместо очереди) — Цена: 250 ₾
- Международное водительское удостоверение (по желанию, действует 3 года) — Цена: 109 ₾"
Цены и оплата,Когда нужно платить? Есть ли предоплата?,"Предоплаты нет. В группе ученик приходит на первый урок и платит после него — если не понравилось или решил сменить формат, платить не нужно. С индивидуальными так же: планируется график, проводится первый урок, после него ученик решает — оплачивать курс целиком или только это занятие.

Если человек сомневается заранее — есть бесплатное тестирование на 15–20 минут: заодно знакомство с преподавателем и понимание, подходит ли формат."
Цены и оплата,Как вам платить?,Наличными или переводом. Занятия по вождению оплачиваются по факту — после проведённого занятия. Оплаты частями (рассрочки) как отдельной услуги нет.
Цены и оплата,Как оплачивается индивидуальный курс?,"Сначала планируется график всех 10 уроков, потом проводится первое занятие. После него ученик решает: оплатить курс целиком или только это одно проведённое занятие (28 ₾)."
Цены и оплата,Чем платить государственную пошлину?,"Только грузинской картой — других вариантов сейчас нет. Если карты ещё нет, её без проблем открывают, например, в банке Credo. Важно: пока не набрано 185 дней пребывания, к экзамену всё равно не допустят."
Цены и оплата,"Можно вернуть деньги, если пришлось бросить обучение?","Непройденные занятия можно перенести — доучиться со следующей группой или перейти на индивидуальный формат. Если продолжить не получается совсем, деньги за непройденные занятия возвращают по согласованию."
Цены и оплата,Заключаете ли вы договор? Дадите документ об оплате?,"Да, при необходимости — например, если обучение оплачивает компания. Договор и форма подтверждающего документа согласуются индивидуально: это может быть чек или квитанция о переводе на реквизиты школы."
Цены и оплата,Сколько выйдет обучение целиком?,"Точную сумму бот не называет: она зависит от текущего уровня, формата и скорости вождения. Правильный ответ — предложить бесплатный расчёт по телефону или заявку на звонок."
Документы и допуск,Кто может сдавать экзамен в Грузии?,"Нужно одно из трёх:
1. вид на жительство,
2. гражданство Грузии,
3. 185 дней пребывания в стране за последние 12 месяцев.

Дни считаются в сумме, а не подряд — выезжать и возвращаться можно сколько угодно раз. Соблюдение условия проверяют перед экзаменом.

Требование о 185 днях действует с мая 2025 года. Пока дни не набраны, учиться никто не мешает, но торопиться смысла нет: к экзамену всё равно не допустят.

Похожие формулировки: «я турист, можно?», «нужен ли ВНЖ», «сколько надо прожить в Грузии»."
Документы и допуск,Какие документы нужны?,"- Чтобы начать обучение — никаких. Можно взять блокнот и ручку, хотя большинство просто фотографирует нужное на телефон.
- На экзамен — два документа: медицинская справка формы 100 (выдаёт школа после осмотра) и нотариально заверенный перевод паспорта на грузинский язык, если ученик — гражданин другого государства."
Документы и допуск,Что за справка формы 100 и где её взять?,"Медицинское заключение о годности к управлению автомобилем: проверяют зрение и другие показатели. У школы есть свой сертифицированный врач, он выписывает справку по результатам осмотра. Цена — 45 ₾. В обиходе её иногда называют «справка психо» (сленг).

Срок действия: школа его точно не подтверждает (ориентировочно полгода–год). Бот срок не называет — предлагает уточнить при получении справки."
Документы и допуск,С какого возраста можно учиться?,"- Теория и площадка — с 16 лет.
- Сдавать экзамены и получать права — с 17 лет.
- Семнадцатилетнему нужна справка о прохождении обучения в автошколе — школа её выдаёт, 50 ₾.
- Могут потребоваться и другие документы, например согласие родителей: правила для несовершеннолетних периодически меняются, точный список — на горячей линии МВД 1272.
- Верхней границы возраста нет. В 65, 70 и даже 80 лет учиться можно — случаев отказа по возрасту школа не встречала.

Ограничения для 17-летних водителей:
В аудиоответе школы звучало, что 17-летним нельзя возить пассажиров до 18 лет и работать в такси. При фактчекинге это не подтвердилось, на сайт не вынесено. Бот такие ограничения не называет — отправляет уточнять на горячую линию МВД 1272."
Документы и допуск,Можно ли обменять иностранные права на грузинские?,"Формально процедура есть, но на практике сейчас почти неосуществима: служба требует пакет документов с апостилями и оригиналами, который гражданам большинства стран получить негде. Рекомендация — не тратить время, а позвонить на горячую линию 1272 и уточнить свою ситуацию. Большинство в итоге сдаёт экзамены обычным порядком."
Документы и допуск,Горячая линия МВД Грузии,"1272 — официальный источник по спорным и меняющимся вопросам: несовершеннолетние, обмен прав, признание грузинских прав за границей."
Экзамены,Где сдают экзамен? Можно ли в Тбилиси?,"В Тбилиси экзамены не принимают. Сдавать нужно в другом городе: Рустави, Гори, Телави, Ахалцихе, Сачхере, Кутаиси, Озургети, Зугдиди, Поти или Батуми. Ближе всего к Тбилиси — Рустави.

Запись — на сайте госуслуг: https://my.sa.gov.ge/drivinglicenses/theoreticalexam. Работает как поиск авиабилетов: выбирается город, открывается календарь со свободными датами, потом время. Вводятся контактный телефон и номер паспорта, пошлина платится грузинской картой — и регистрация готова. В каждом городе свой график и свои свободные окна.

Сайт нужно открывать с компьютера или включить режим ПК в мобильном браузере. Если сайт сбоит, зарегистрируют бесплатно в отделении Bank of Georgia или TBC — прийти и попросить помочь, пошлина платится там же."
Экзамены,На каком языке сдают экзамен?,Теоретический экзамен можно сдавать на русском или на грузинском. Поэтому школа учит по русским формулировкам билетов — на экзамене ученик увидит тот же язык.
Экзамены,Что именно спрашивают на экзамене по теории?,"За 30 минут нужно ответить на 30 вопросов из общей базы примерно в 900 билетов, допустимо не более 5 ошибок. Порог смягчили в мае 2026 года: раньше ошибиться можно было только трижды.

Потренироваться бесплатно:
- экзамен с таймером — https://avtoshkola.ge/bilety/
- тренировка без таймера, с прогрессом и работой над ошибками — https://avtoshkola.ge/bilety/trenirovka/"
Экзамены,На чьей машине сдают экзамен?,"Автомобиль предоставляет экзаменационный центр — и на площадке, и в городе. На учебной машине школы ученик только учится."
Экзамены,Как добраться до экзамена в другой город?,"Дорогу ученик организует сам — школа до места не везёт. Адреса экзаменационных центров есть в открытом доступе, до Рустави из Тбилиси ходит регулярный транспорт. Школа подскажет, куда именно ехать и как удобнее добраться."
Экзамены,"Что будет, если я не сдам?","- Теория: пересдача не раньше седьмого календарного дня. Каждая пересдача — 40 ₾.
- Площадка: после успешной теории сдают в порядке живой очереди в течение 30 дней. Не получилось с первого раза — следующая попытка через неделю; первая пересдача бесплатная, дальше платная (40 ₾).
- Город: при неудаче пересдача через месяц, снова 90 ₾. Ждать необязательно: за 250 ₾ вместо 90 поставят на ближайшую свободную дату, обычно через два-три дня."
Экзамены,Сколько времени между экзаменами?,"- После успешной теории на площадку даётся 30 дней.
- После площадки экзамен по городу по умолчанию через две недели, но за 250 ₾ вместо 90 можно выйти уже через пару дней.
- Сам экзамен по городу разрешено сдавать в течение года после первых двух."
Экзамены,Порядок экзаменов,1. Теория (30 вопросов / 30 минут / ≤5 ошибок) → 2. Площадка (автодром) → 3. Город.
Экзамены,На площадку записываться не нужно,"Экзамен на площадке сдают в порядке живой очереди в течение 30 дней после успешной теории. Отдельной записи и отдельной пошлины за первую попытку нет.

Совет школы: готовиться к теории и к площадке параллельно и сдавать обе в один день в одном городе — чтобы не ездить в другой город дважды. Сдал теорию, прошёл 100–200 метров — и там же сдаёшь площадку."
Экзамены,Какой экзамен самый сложный?,"- Теория и площадка — самые предсказуемые. Все билеты известны заранее (официальный банк — 898 вопросов); если человек уверенно проходит тренажёр, экзамен сдаётся. На площадке: если элементы получаются на тренировках, в 99 % случаев получатся и на экзамене — риск только в нервах.
- Экзамен по городу считается самым сложным."
Экзамены,Что отрабатывают на площадке,"Шесть-семь элементов: змейка, параллельная парковка, имитация въезда в гараж, подъём на эстакаду и другие. Инструктор учит выполнять их так, чтобы не сбивать фишки. Как только все элементы получаются — можно выходить на экзамен."
Права,Учиться на механике или на автомате?,"На стоимость это не влияет — у школы есть обе машины. Но права выдают по тому, на чём сдавали: сдал на автомате — в правах отметка, что водить можно только автомат. С механикой такого ограничения нет."
Права,Что разрешает категория B и B1?,"- B — легковые автомобили.
- B1 — ещё и квадрициклы с трициклами.
- Мопеды и скутеры с двигателем до 50 см³ — отдельная категория AM, права на них получают отдельно.
- Мотоциклы свыше 50 см³ — категория A: отдельные права и отдельное обучение.

ВНИМАНИЕ: Расхождение: в аудиоответе школы прозвучало, что скутеры до 50 см³ входят в B/B1. На сайте зафиксировано, что это отдельная категория AM. Бот отвечает по версии сайта; при прямом вопросе про скутер — отправлять уточнять на 1272."
Права,На сколько лет выдают права?,"Права категорий B и B1 действуют 15 лет. Отдельно можно оформить международное водительское удостоверение — официальный тариф 109 ₾, действует 3 года."
Права,Действуют ли грузинские права за границей?,"Однозначного ответа нет: условия признания у каждой страны свои и меняются. Уточнять на горячей линии МВД 1272 или в консульстве страны назначения. Школа намеренно не даёт списка стран — цена ошибки за рулём в чужой стране слишком высока.

Бот не должен перечислять страны и обещать признание прав."
Быстрые факты (шпаргалка),Контакты,"- Телефон: +995 599 98 77 07, звонки 10:00–20:00
- WhatsApp: wa.me/995599987707, писать круглосуточно
- Почта: info@avtoshkola.ge · Партнёрство: partners@avtoshkola.ge
- Аудитория: пр-т Важа Пшавела 9 (метро «Медицинский университет»)
- Площадка: у метро «Церетели»
- Сайт: avtoshkola.ge · Вопросы: avtoshkola.ge/voprosy/ · Билеты: avtoshkola.ge/bilety/"
Быстрые факты (шпаргалка),Цены школы,"- Теория в группе: 150 ₾ за курс (9 занятий × 90 мин, 2 недели, будни 19:00, до 12 человек)
- Теория индивидуально онлайн с Людмилой: 280 ₾ за курс (10 занятий × 90 мин, 9:00–18:00, 3–5 раз в неделю)
- Теория индивидуально с Ниной (онлайн вечером или на дому): 350 ₾ за курс
- Теория индивидуально в аудитории: 350 ₾ (формат есть, но аудитории заняты)
- Одно занятие онлайн: 28 ₾
- Онлайн вдвоём / втроём / вчетвером: 210 / 180 / 150 ₾ с человека за курс
- Площадка: 40 ₾ за занятие 45 минут
- Город: 50 ₾ за занятие
- Тестирование и консультация: бесплатно
- Медсправка формы 100: 45 ₾
- Справка об обучении (для 17-летних): 50 ₾"
Быстрые факты (шпаргалка),"Государственные пошлины (платятся государству, только грузинской картой)","- Теория, первая попытка (с изготовлением удостоверения): 55 ₾
- Пересдача теории: 40 ₾
- Экзамен в городе: 90 ₾
- Пересдача площадки со второй попытки: 40 ₾
- Ускоренная запись: 250 ₾
- Международное ВУ: 109 ₾ (3 года)"
Быстрые факты (шпаргалка),Допуск,"- Нужно одно из трёх: ВНЖ / гражданство Грузии / 185 дней в стране за 12 месяцев (с мая 2025)
- Учиться: с 16 лет · Сдавать и получать права: с 17 лет · Верхней границы нет
- Документы на экзамен: справка формы 100 + нотариальный перевод паспорта на грузинский"
Быстрые факты (шпаргалка),Экзамены,"- В Тбилиси не принимают. Города: Рустави (ближайший), Гори, Телави, Ахалцихе, Сачхере, Кутаиси, Озургети, Зугдиди, Поти, Батуми
- Запись: my.sa.gov.ge/drivinglicenses/theoreticalexam (с компьютера или в режиме ПК)
- Теория: 30 вопросов / 30 минут / до 5 ошибок, язык — русский или грузинский
- Билеты: официальный банк 898 вопросов, в тренажёре школы 844 действующих. Клиенту говорить «примерно 900»
- Площадка: записи нет, живая очередь; теорию и площадку лучше сдавать в один день в одном городе
- Самый сложный экзамен — город; теория и площадка предсказуемы
- Порог в 5 ошибок — с мая 2026 (раньше 3)
- Пересдача теории: не раньше 7-го дня. Площадка: 30 дней после теории, первая пересдача бесплатная. Город: пересдача через месяц или через 2–3 дня за 250 ₾
- Машину на экзамен даёт экзаменационный центр"
Быстрые факты (шпаргалка),Права,"- B и B1 — 15 лет. Сдал на автомате — отметка «только автомат»
- AM (до 50 см³) — отдельная категория
- Международное ВУ — 109 ₾, 3 года"
Быстрые факты (шпаргалка),Школа,"- Больше 7 лет, русскоязычное отделение — 3 года
- Преподаватели теории: Людмила (только онлайн, день) и Нина (группы, онлайн вечером, на дому)
- Инструкторы вождения: Паата и Зураб · Машины: Skoda Rapid, Volkswagen Jetta (автомат и механика)
- Женщин-инструкторов нет
- Категории: B, B1 (полностью); A и C — только теория (A — вождение у партнёров)
- Обучение с нуля, оплата после первого урока, без предоплаты
- Онлайн: только теория (Zoom / Google Meet), вождение очно в Тбилиси
- Горячая линия МВД Грузии: 1272"
Правила ответов бота,Роль,"Бот отвечает от имени русскоязычного отделения автошколы в Тбилиси. Аудитория — люди, переехавшие в Грузию, часто без грузинского языка и без опыта вождения."
Правила ответов бота,Тон,"- Спокойно, по делу, без давления и без продажного пафоса.
- Коротко: сначала прямой ответ, потом детали.
- На «вы».
- Цифры называть точно, как в базе (цены в лари ₾)."
Правила ответов бота,Что бот НЕ делает,"1. Не называет дату старта ближайшей группы — она меняется, отправляет уточнить по телефону или в WhatsApp.
2. Не перечисляет страны, где действуют грузинские права — отправляет на горячую линию МВД 1272 или в консульство.
3. Не обещает обмен иностранных прав — процедура формально есть, но на практике почти неосуществима; отправляет на 1272.
4. Не даёт точный срок действия справки формы 100 — уточняется при получении.
5. Не считает итоговую стоимость обучения «под ключ» — зависит от уровня и скорости; предлагает бесплатный расчёт по телефону.
6. Не выдумывает правила, которых нет в базе. Если вопроса нет в базе — честно говорит, что уточнит, и предлагает звонок или WhatsApp.
7. Не утверждает, что экзамен можно сдать на других языках, кроме русского и грузинского — эта информация не подтверждена.
8. Не даёт юридических гарантий по допуску, миграционным правилам и требованиям к несовершеннолетним — это зона МВД (1272)."
Правила ответов бота,Когда бот выбирает версию сайта,Если данные из аудиоответов школы (файл 08) расходятся с сайтом — всегда отвечать по сайту. Список расхождений — в конце файла 08.
Правила ответов бота,Когда переводить на человека,"- Индивидуальный график, договор, оплата от юрлица.
- Возврат денег за непройденные занятия.
- Категории A и C.
- Нестандартная ситуация с документами или допуском.
- Клиент готов записаться."
Правила ответов бота,Стандартные призывы к действию,"- «Позвоните: +995 599 98 77 07, ежедневно с 10:00 до 20:00».
- «Напишите в WhatsApp — https://wa.me/995599987707, отвечаем в рабочее время».
- «Оставьте заявку на сайте — перезвоним: https://avtoshkola.ge/#contact».
- Для сомневающихся: «Бесплатное тестирование 10–20 минут — покажет, сколько занятий нужно именно вам».

Приоритет — довести до звонка. По телефону менеджер за несколько минут объясняет форматы и нюансы; в переписке это занимает намного дольше. Если человек колеблется или задаёт много вопросов подряд — предлагать созвон."
Правила ответов бота,Главные продающие факты (использовать без преувеличений),"- Всё обучение на русском — и теория, и вождение.
- Оплата после первого урока, предоплаты нет.
- Обучение с нуля.
- Теория доступна онлайн из любой точки.
- Медсправку формы 100 выдают на месте, искать клинику не нужно.
- Бесплатный тренажёр билетов на сайте."
Из аудиоответов школы,Почему опытному водителю всё равно нужна теория (развёрнутый аргумент),"ПДД только выглядят международными:
- правила проезда круговых движений отличаются;
- езда с габаритными огнями: в России обязательна, в Грузии нет;
- дорожные знаки с грузинскими надписями.

Опытного водителя это подводит чаще, чем новичка: он действует по привычке из своей страны.

Отдельно — качество билетов. Официальный сайт teoria.on.ge и другие источники дают билеты в машинном переводе, сделанном много лет назад. Примерно в 15–20 % вопросов смысл искажён, и по формулировке невозможно понять, что имел в виду автор. Преподаватели на занятиях объясняют, что имелось в виду и как правильно ответить."
Из аудиоответов школы,Чем онлайн школы отличается от «онлайна» конкурентов,"Некоторые грузинские автошколы называют онлайн-обучением подключение к трансляции. Здесь — полноценный видеоурок: преподаватель ведёт занятие вживую, включает демонстрацию экрана, показывает фото и видео, разбирает задачи. Позиция школы: трансляции без взаимодействия с преподавателем результата не дают."
Из аудиоответов школы,Как школа хочет вести клиента,"Основная задача — довести обратившегося до телефонного разговора. По телефону менеджер объясняет детали, нюансы и форматы; человек начинает понимать структуру обучения и выбирает подходящий формат. Переписка справляется с этим хуже. Консультация бесплатная."
Из аудиоответов школы,Про учеников,"- Учатся и приезжие, и граждане Грузии, окончившие русскоязычные школы: разговорный грузинский у них свободный, а технический язык ПДД — тяжёлый.
- Многонациональный состав: грузины, армяне, азербайджанцы, русские, украинцы, белорусы.
- Раньше приезжали специально ради прав. После введения правила о 185 днях этот поток учеников уменьшился."
Из аудиоответов школы,Планирование и логистика (полезно при консультации),"- Индивидуальный график лучше планировать за несколько дней или недель — преподаватели загружены.
- Теорию и площадку логично готовить параллельно и сдавать в один день в одном городе, чтобы не ездить дважды.
- Дорогу до экзаменационного центра ученик организует сам, но школа подсказывает, куда ехать и каким транспортом."
Из аудиоответов школы,"ВНИМАНИЕ: Данные из аудио, которые расходятся с сайтом","Сайт — приоритетный источник. Ниже расхождения, найденные в аудио; боту использовать версию сайта.

- Пошлина за теорию — В аудио: 57 ₾; На сайте (использовать это): 55 ₾
- Международное удостоверение — В аудио: 130 ₾; На сайте (использовать это): 109 ₾
- Число экзаменационных городов — В аудио: 12; На сайте (использовать это): перечислено 10
- Скутеры до 50 см³ — В аудио: входят в B/B1; На сайте (использовать это): отдельная категория AM
- Срок действия международных прав — В аудио: как у обычных; На сайте (использовать это): 3 года
- Число билетов — В аудио: 921; На сайте (использовать это): официальный банк 898, клиенту — «примерно 900»
- Ограничения для 17-летних — В аудио: нельзя пассажиров до 18 лет и такси; На сайте (использовать это): не подтверждено, на сайт не вынесено
- Порог ошибок на теории — В аудио: 5 (совпадает); На сайте (использовать это): 5, смягчено в мае 2026

Как именно проверялся каждый пункт — в файле 09-fakt-cheking.md."
Из аудиоответов школы,"ВНИМАНИЕ: Что в аудио прозвучало, но проверено не до конца — боту не выдавать","1. Экзамен на других языках, кроме русского и грузинского. Информация непроверенная: возможно, в отдельных центрах есть, возможно нет. Официальная позиция — два языка.
2. Срок действия справки формы 100. В аудио — «полгода или год», точно не подтверждено.
3. Ограничения для 17-летних водителей (пассажиры, такси) — при проверке не подтвердились.
4. Признание грузинских прав за границей. В аудио звучало: в Европе действуют в рамках безвизового пребывания до 3 месяцев, в США не действуют. Это личное мнение, не официальная справка. Бот страны не перечисляет — отправляет на 1272 или в консульство.
5. Интервал пересдачи теории. В аудио школа сама не была уверена («наверное, через неделю»). На сайте зафиксировано: не раньше седьмого календарного дня.
6. Комиссия банков за помощь с регистрацией на экзамен. В аудио: «сверху вроде не берут, но это не точно»."
Из аудиоответов школы,Что пока отсутствует,"Школа планировала добавить блок с живыми историями учеников (как сдавали экзамены, конкретные случаи). Материала пока нет — при появлении добавить отдельным файлом."
